     .0000     .0000
     .8000     .0993
    1.6000     .1947
    2.4000     .2846
    3.2000     .3689
    4.0000     .4406
    4.8000     .5003
    5.6000     .5473
    6.4000     .5807
    7.2000     .6009
    8.0000     .6095
    8.8000     .5969
    9.6000     .5816
   10.4000     .5518
   11.2000     .5241
   12.0000     .4838
   12.8000     .4504
   13.6000     .4060
   14.4000     .3571
   15.2000     .3129
   16.0000     .2716
   16.8000     .2309
   17.6000     .1946
   18.4000     .1609
   19.2000     .1358
   20.0000     .1090
   20.8000     .0889
   21.6000     .0726
   22.4000     .0566
   23.2000     .0439
   24.0000     .0344
   24.8000     .0254
   25.6000     .0199
   26.4000     .0137
   27.2000     .0111
   28.0000     .0076
   28.8000     .0053
   29.6000     .0040
   30.4000     .0028
   31.2000     .0023
   32.0000     .0014
   32.8000     .0008
   33.6000     .0006
